all_rates,provider_groups,npi,entity_type_code,business_name,last_name,first_name,first_line_location_address,second_line_location_address,city_name,state_name,int_postal,truncated_zips,phone,taxonomy_1,taxonomy_2,taxonomy_3,taxonomy_4,taxonomy_5,taxonomy_6,taxonomy_7,taxonomy_8,taxonomy_9,taxonomy_10,taxonomy_11,taxonomy_12,taxonomy_13,taxonomy_14,taxonomy_15,Input Address,Match,Match Result,Match Address,LatLong,Number,L or R,longitude,latitude,mapped_taxonomy_1,mapped_taxonomy_2,mapped_taxonomy_3,mapped_taxonomy_4,mapped_taxonomy_5,mapped_taxonomy_6,mapped_taxonomy_7,mapped_taxonomy_8,mapped_taxonomy_9,mapped_taxonomy_10,mapped_taxonomy_11,mapped_taxonomy_12,mapped_taxonomy_13,mapped_taxonomy_14,mapped_taxonomy_15,size,alias,yelp_alias,api_url,score,review_count,map_area
330.97,[4168],1326115692,2.0,BRONXCARE HEALTH SYSTEM,BRONXCARE HEALTH SYSTEM,BRONXCARE HEALTH SYSTEM,1650 GRAND CONCOURSE,,BRONX,NY,10457.0,10457,7189927669.0,207U00000X,2085N0904X,2085R0202X,2085R0204X,,,,,,,,,,,,"1650 GRAND CONCOURSE, BRONX, NY, 10457",Match,Exact,"1650 GRAND CONCOURSE, BRONX, NY, 10457","-73.91125392225865,40.84439723511264",640810603.0,R,-73.91125392225865,40.84439723511264,Allopathic & Osteopathic Physicians/Nuclear Medicine,Allopathic & Osteopathic Physicians/Radiology/Neuroradiology/Nuclear Radiology,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Allopathic & Osteopathic Physicians/Radiology, Vascular and Interventional Radiology",,,,,,,,,,,,5.0,bronxcare-health-system-bronx,bronxcare-health-system-bronx,https://www.yelp.com/biz/bronxcare-health-system-bronx?start=0,1.9,53.0,NYC
1365.41,[2884],1417982539,2.0,"VERRAZANO RADIOLOGY ASOCIATES, PC","VERRAZANO RADIOLOGY ASOCIATES, PC","VERRAZANO RADIOLOGY ASOCIATES, PC",256 MASON AVE,,STATEN ISLAND,NY,103053408.0,10305,7186674700.0,2085R0202X,,,,,,,,,,,,,,,"256 MASON AVE, STATEN ISLAND, NY, 10305",Match,Exact,"256 MASON AVE, STATEN ISLAND, NY, 10305","-74.08717625125621,40.58612038374133",59868803.0,L,-74.08717625125621,40.58612038374133,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,5.0,verrazano-radiology-associates-pc-staten-island,verrazano-radiology-associates-pc-staten-island,https://www.yelp.com/biz/verrazano-radiology-associates-pc-staten-island?start=0,4.0,9.0,NYC
1365.41,[2884],1962492546,2.0,GOETHALS RADIOLOGY PC,GOETHALS RADIOLOGY PC,GOETHALS RADIOLOGY PC,475 SEAVIEW AVE,,STATEN ISLAND,NY,103053436.0,10305,7182269175.0,2085R0202X,,,,,,,,,,,,,,,"475 SEAVIEW AVE, STATEN ISLAND, NY, 10305",Match,Exact,"475 SEAVIEW AVE, STATEN ISLAND, NY, 10305","-74.08594261231525,40.58349910707517",59887462.0,L,-74.08594261231525,40.58349910707517,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,5.0,no_yelp_id,,https://zephyr.health/page-not-found,N/A,N/A,NYC
337.13,[51411],1740536044,2.0,RADIOLOGY MEDICAL ASSOCIATES PC,RADIOLOGY MEDICAL ASSOCIATES PC,RADIOLOGY MEDICAL ASSOCIATES PC,97-28 63RD ROAD,,REGO PARK,NY,113741639.0,11374,7185393646.0,2085R0202X,2085R0202X,,,,,,,,,,,,,,"97-28 63RD ROAD, REGO PARK, NY, 11374",Match,Exact,"97-28 63RD RD, REGO PARK, NY, 11374","-73.86031515240882,40.73112894701785",59704997.0,R,-73.86031515240882,40.73112894701785,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,5.0,no_yelp_id,,https://zephyr.health/page-not-found,N/A,N/A,NYC
390.23,[3569],1669455457,2.0,RADIOLOGY OF NEW YORK P.C.,RADIOLOGY OF NEW YORK P.C.,RADIOLOGY OF NEW YORK P.C.,9705 101ST AVE,,OZONE PARK,NY,114162523.0,11416,7188480606.0,2085R0202X,261QM1200X,,,,,,,,,,,,,,"9705 101ST AVE, OZONE PARK, NY, 11416",Match,Exact,"97-05 101ST AVE, OZONE PARK, NY, 11416","-73.8441426999533,40.68485339521152",59707668.0,L,-73.8441426999533,40.68485339521152,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,5.0,no_yelp_id,,https://zephyr.health/page-not-found,N/A,N/A,NYC
390.23,[3569],1710186903,2.0,"113TH STREET MEDICAL GROUP, PC","113TH STREET MEDICAL GROUP, PC","113TH STREET MEDICAL GROUP, PC",7035 113TH ST,,FOREST HILLS,NY,113754651.0,11375,7189904255.0,2085B0100X,2085D0003X,2085N0904X,2085R0203X,2085R0204X,2085U0001X,2085R0202X,,,,,,,,,"7035 113TH ST, FOREST HILLS, NY, 11375",Match,Exact,"70-35 113TH ST, FOREST HILLS, NY, 11375","-73.83828340143793,40.72334734595938",59706424.0,L,-73.83828340143793,40.72334734595938,,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Neuroimaging",Allopathic & Osteopathic Physicians/Radiology/Neuroradiology/Nuclear Radiology,,"Allopathic & Osteopathic Physicians/Radiology, Vascular and Interventional Radiology","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Ultrasound","Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,5.0,no_yelp_id,,https://zephyr.health/page-not-found,N/A,N/A,NYC
390.23,[3569],1194739953,2.0,"MEDICAL MULTI IMAGING, PC","MEDICAL MULTI IMAGING, PC","MEDICAL MULTI IMAGING, PC",144-17 HILLSIDE AVENUE,,JAMAICA,NY,11435.0,11435,7185237570.0,2085R0202X,,,,,,,,,,,,,,,"144-17 HILLSIDE AVENUE, JAMAICA, NY, 11435",Match,Exact,"144-17 HILLSIDE AVE, JAMAICA, NY, 11435","-73.81068454375668,40.705531062466434",59710914.0,L,-73.81068454375668,40.705531062466434,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,5.0,no_yelp_id,,https://zephyr.health/page-not-found,N/A,N/A,NYC
390.23,[3569],1366490104,2.0,ADVANCED RADIOLOGICAL IMAGING-ASTORIA PC,ADVANCED RADIOLOGICAL IMAGING-ASTORIA PC,ADVANCED RADIOLOGICAL IMAGING-ASTORIA PC,2916 ASTORIA BLVD,,ASTORIA,NY,111021742.0,11102,7182045800.0,2085R0202X,,,,,,,,,,,,,,,"2916 ASTORIA BLVD, ASTORIA, NY, 11102",Match,Exact,"29-16 ASTORIA BLVD, ASTORIA, NY, 11102","-73.91938845497106,40.77035270786939",59696959.0,R,-73.91938845497106,40.77035270786939,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,5.0,advanced-radiological-imaging-astoria,advanced-radiological-imaging-astoria,https://www.yelp.com/biz/advanced-radiological-imaging-astoria?start=0,2.1,36.0,NYC
390.23,[3569],1487765608,2.0,METROPOLITAN RADIOLOGICAL IMAGING PC,METROPOLITAN RADIOLOGICAL IMAGING PC,METROPOLITAN RADIOLOGICAL IMAGING PC,13848 ELDER AVE,,FLUSHING,NY,113554066.0,11355,7183217100.0,2085R0202X,,,,,,,,,,,,,,,"13848 ELDER AVE, FLUSHING, NY, 11355",Match,Exact,"138-48 ELDER AVE, FLUSHING, NY, 11355","-73.8225383663409,40.7527463577037",612459127.0,R,-73.8225383663409,40.7527463577037,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,,5.0,no_yelp_id,,https://zephyr.health/page-not-found,N/A,N/A,NYC
390.23,[3569],1679756944,2.0,"QUEENS RADIOLOGY, PC","QUEENS RADIOLOGY, PC","QUEENS RADIOLOGY, PC",2308 30TH AVE,,LONG ISLAND CITY,NY,111023255.0,11102,7187262000.0,2085N0700X,2085R0202X,,,,,,,,,,,,,,"2308 30TH AVE, LONG ISLAND CITY, NY, 11102",Match,Exact,"23-08 30TH AVE, LONG ISLAND CITY, NY, 11102","-73.92634339205881,40.76914412529334",59696601.0,R,-73.92634339205881,40.76914412529334,Allopathic & Osteopathic Physicians/Radiology/Neuroradiology,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",,,,,,,,,,,,,,5.0,no_yelp_id,,https://zephyr.health/page-not-found,N/A,N/A,NYC
